utterance_id,,sad,Excited,Sympathetic,Frustrated,Impolite,Satisfied,Polite
Man002_Woman002_Transcription_0001,0,0,0,0.659556,0,0,0
Man002_Woman002_Transcription_0002,0,0,0,0,0,0,1.0
Man002_Woman002_Transcription_0003,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0004,0,0.841315,0,0,0,0,0
Man002_Woman002_Transcription_0005,0,0,0,0,0,0,0.684037
Man002_Woman002_Transcription_0006,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0007,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0008,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0009,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0010,0,0.561381,0,0,0,0,0
Man002_Woman002_Transcription_0011,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0012,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0013,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0014,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0015,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0016,0,0.615564,0,0,0,0,0
Man002_Woman002_Transcription_0017,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0018,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0019,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0020,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0021,0,0.683227,0,0,0,0,0
Man002_Woman002_Transcription_0022,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0023,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0024,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0025,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0026,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0027,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0028,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0029,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0030,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0031,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0032,0,0,0,0.537752,0.834994,0,0
Man002_Woman002_Transcription_0033,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0034,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0035,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0036,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0037,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0038,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0039,0,0.733157,0,0,0,0,0
Man002_Woman002_Transcription_0040,0,0,0,0,0,0,0
Man002_Woman002_Transcription_0041,0,0,0,0,0,0,0
